id,time_taken,age,birth_month,gender,height,n_siblings,alevel_subjects,home_location,highest_maths,countries_visited,relative_maths,bat_ball_puzzle,random_number,prob_likelihood,relative_conv,population,salary_uk,mean_deviation,famous_person,gamble_to_win,gamble_to_lose,stroop_control,stroop_compatible,stroop_incompatible,facebook_days,instagram_days,twitter_days,facebook_friends,instagram_followers,instagram_follow,twitter_followers,twitter_follow
1,10,26,January,Female,170,1,Maths;English;Biology;Psychology;French;,Europe (not UK),A-Level Grade A* / A,16,A little above the average,5p,7,equal,A little below average,Around 7 billion,"£30,000",about the same,Greta Thunberg,play safe,gamble,6,6,9,7,7,7,429,70,105,78,72
2,15.7,23,March,Male,188,1,History;Geography;Psychology;,"North West, England",GCSE grade A-C,10,Average,5p,6,equal,A little above the average,Around 7 billion,26000,small hospital,Greta Thunberg,gamble,gamble,5,3,8,0,0,0,0,0,0,0,0
3,12.4,24,January,Female,168,1,Maths;English;History;Biology;Business studies;French;German;,Europe (not UK),A-Level Grade B / C,15,A little below average,10p,4,equal,A little above the average,Around 7 billion,£420 gross a week,about the same,Banksy,play safe,gamble,18,9,20,6,7,2,894,322,298,12,40
4,6.2,102,July,Prefer not to say,178,4,Maths;English;History;Biology;French;,Europe (not UK),Other,23,Well above average,10p,4,equal,Average,Around 10 billion,26000,small hospital,Greta Thunberg,play safe,gamble,7.7,4.9,9.3,0,0,5,0,0,0,400,350
5,17.4,36,April,Female,163,3,History;French;German;,"North West, England",GCSE grade D-E,26,A little above the average,5p,2,equal,Well above average,Around 7 billion,20000,about the same,Greta Thunberg,play safe,play safe,8,7,12,4,5,1,292,102,125,78,215
6,27.3,27,November,Prefer not to say,175,1,Maths;Psychology;Economics;,"Midlands, England",A-Level Grade A* / A,4,A little above the average,5p,7,unable to tell,Average,Around 7 billion,£2000/month before tax,small hospital,Greta Thunberg,play safe,play safe,NA,NA,NA,7,7,7,149,7,58,40,342
7,12.6,34,July,Male,192,4,English;Geography;Business studies;,"North West, England",A-Level Grade B / C,6,A little above the average,10p,0,equal,Average,Around 7 billion,"£20,000 (CI £15-£24K)",about the same,Lionel Messi,play safe,gamble,6.75,7.01,10.21,0,0,2,0,0,0,268,60
8,21.2,27,July,Male,176,1,Maths;Chemistry;Physics;,"North West, England",Other,7,A little above the average,5p,5,bill result,Average,Around 70 billion,20000,small hospital,Taylor Swift,play safe,gamble,4.41,4.03,5.44,7,0,0,1332,0,0,0,0
9,11.6,55,January,Female,165,1,Maths;Chemistry;Physics;,"North West, England",A-Level Grade B / C,10,A little above the average,5p,7,equal,Average,Around 7 billion,18K,about the same,Greta Thunberg,play safe,play safe,13,5,14,0,0,0,0,0,0,0,0
10,6,33,December,Female,170,3,Maths;English;History;Biology;Geography;French;German;,Europe (not UK),Other,17,Well above average,5p,7,unable to tell,Average,Around 7 billion,22.000 pa,small hospital,Greta Thunberg,gamble,gamble,4,5,6,1,1,7,300,0,5,400,400
11,11.3,35,May,Male,183,2,Maths;,North America,Other,10,A little above the average,5p,4,bill result,A little above the average,Around 7 billion,20000,about the same,Banksy,gamble,gamble,8,6,9,3,0,5,468,0,0,583,724
12,39,32,September,Prefer not to say,160,1,Maths;English;History;Biology;Chemistry;Physics;Geography;Economics;,North America,Other,6,A little below average,5p,8,equal,Well above average,Around 7 billion,"30,200",about the same,Banksy,play safe,play safe,NA,NA,NA,5,0,0,185,0,0,0,0
13,14.6,65,March,Non-binary,175,3,Biology;Chemistry;Physics;,"South East, England (inc. London)",GCSE grade A-C,10,Average,5p,2,equal,Average,Around 7 billion,£25k,small hospital,Taylor Swift,play safe,play safe,10.5,4.9,9.7,0,0,0,0,0,0,0,0
14,11.2,24,October,Female,156,2,English;Biology;Chemistry;Psychology;,"North West, England",GCSE grade A-C,12,Average,10p,7,equal,A little above the average,Around 7 billion,"22,000",about the same,Greta Thunberg,play safe,gamble,5,3,7,7,7,0,1000,700,1453,0,0
